City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
197,Samarai,PG,2020-12-03 15:16:37,-10.62,150.67,81.41,80,100,10.22
198,Shenzhen,CN,2020-12-03 15:15:07,22.55,114.07,60.01,76,12,3.0
199,Cabedelo,BR,2020-12-03 15:17:33,-6.98,-34.83,84.2,74,75,11.41
200,Atasu,KZ,2020-12-03 15:17:00,48.68,71.64,14.54,97,99,3.62
201,Pisco,PE,2020-12-03 15:16:32,-13.7,-76.22,69.01,77,0,5.82
202,Hermanus,ZA,2020-12-03 15:16:05,-34.42,19.23,72.0,59,0,8.01
203,Lagoa,PT,2020-12-03 15:17:33,39.05,-27.98,58.3,76,100,19.04
204,Shellbrook,CA,2020-12-03 15:17:33,53.22,-106.4,12.2,92,20,4.7
205,Jonkoping,SE,2020-12-03 15:17:34,57.78,14.16,33.01,88,75,11.41
206,Puerto Del Rosario,ES,2020-12-03 15:14:29,28.5,-13.86,69.8,73,40,3.36
207,Hobyo,SO,2020-12-03 15:16:39,5.35,48.53,80.38,76,16,15.23
208,Lusambo,CD,2020-12-03 15:17:34,-4.97,23.45,75.72,92,100,2.06
209,Nizwa,OM,2020-12-03 15:17:34,22.93,57.53,73.72,34,0,1.03
210,Benguela,AO,2020-12-03 15:17:34,-12.58,13.41,82.4,69,75,9.17
211,Kambove,CD,2020-12-03 15:17:34,-10.88,26.6,65.66,98,98,4.92
212,Balabac,PH,2020-12-03 15:17:34,7.99,117.06,81.43,82,90,6.22
213,Ponta Delgada,PT,2020-12-03 15:17:25,37.73,-25.67,60.8,72,75,12.75
214,Wewak,PG,2020-12-03 15:17:34,-3.55,143.63,79.0,81,97,3.62
215,Armizonskoye,RU,2020-12-03 15:17:34,55.95,67.67,1.81,91,0,3.83
216,Abu Samrah,SY,2020-12-03 15:17:34,35.3,37.18,57.06,52,0,9.01
217,Atambua,ID,2020-12-03 15:17:35,-9.11,124.89,76.23,88,99,2.44
218,Hargeysa,SO,2020-12-03 15:17:35,9.56,44.06,70.61,69,74,12.95
219,San Agustin,MX,2020-12-03 15:17:35,20.53,-103.47,60.01,71,40,1.9
220,Saint-Philippe,RE,2020-12-03 15:16:12,-21.36,55.77,80.6,78,40,1.12
221,Tasiilaq,GL,2020-12-03 15:15:57,65.61,-37.64,15.8,56,20,4.7
222,Huarmey,PE,2020-12-03 15:16:55,-10.07,-78.15,70.59,68,95,8.68
223,Petropavlovsk-Kamchatskiy,RU,2020-12-03 15:17:35,53.05,158.65,5.0,71,86,11.18
224,Catuday,PH,2020-12-03 15:17:36,16.29,119.81,80.13,83,99,21.23
225,Wanning,CN,2020-12-03 15:16:30,18.8,110.4,64.98,76,50,11.63
226,Kutum,SD,2020-12-03 15:17:36,14.2,24.67,79.75,16,0,5.37
227,Diamantino,BR,2020-12-03 15:17:36,-14.41,-56.45,95.92,36,13,7.38
228,Acapulco,MX,2020-12-03 15:16:36,16.86,-99.89,75.2,88,75,2.46
229,Qaanaaq,GL,2020-12-03 15:16:03,77.48,-69.36,1.0,89,100,2.19
230,Adrar,MR,2020-12-03 15:16:07,20.5,-10.07,87.89,15,100,4.74
231,Bandarbeyla,SO,2020-12-03 15:16:45,9.49,50.81,77.32,78,37,13.2
232,Khatanga,RU,2020-12-03 15:15:58,71.97,102.5,4.86,94,100,17.45
233,Sarangani,PH,2020-12-03 15:17:36,5.4,125.46,83.55,80,100,12.01
234,Egvekinot,RU,2020-12-03 15:17:36,66.32,-179.17,-7.1,91,70,0.09
235,San Rafael,AR,2020-12-03 15:17:36,-34.62,-68.33,72.99,20,0,16.58
236,Inhambane,MZ,2020-12-03 15:16:47,-23.86,35.38,78.8,54,20,9.17
237,Zhigansk,RU,2020-12-03 15:17:37,66.77,123.37,-3.3,92,100,15.75
238,Appleton,US,2020-12-03 15:15:00,44.26,-88.42,34.0,78,87,1.99
239,Kurayoshi,JP,2020-12-03 15:17:37,35.43,133.82,48.2,49,75,9.17
240,Joshimath,IN,2020-12-03 15:17:37,30.57,79.57,42.71,44,0,6.26
241,Baft,IR,2020-12-03 15:17:37,29.23,56.61,55.06,48,65,5.23
242,Sorland,NO,2020-12-03 15:16:15,67.67,12.69,41.0,80,90,26.4
243,Laguna,US,2020-12-03 15:16:21,38.42,-121.42,39.2,62,1,3.62
244,Norman Wells,CA,2020-12-03 15:16:13,65.28,-126.83,48.2,49,75,3.36
245,Maraba,BR,2020-12-03 15:17:41,-5.37,-49.12,87.8,62,75,8.05
246,Mogadishu,SO,2020-12-03 15:16:06,2.04,45.34,80.47,74,99,15.37
247,Vila Velha,BR,2020-12-03 15:12:33,-20.33,-40.29,87.01,66,20,17.22
248,Bam,IR,2020-12-03 15:17:42,29.11,58.36,64.53,38,2,4.74
249,Kontagora,NG,2020-12-03 15:16:57,10.4,5.47,98.37,9,0,7.43
250,Bereda,ES,2020-12-03 15:17:42,43.27,-7.54,50.0,100,100,13.0
251,Port-Gentil,GA,2020-12-03 15:15:07,-0.72,8.78,86.0,74,40,14.99
252,Wilmington,US,2020-12-03 15:16:08,34.23,-77.94,53.01,51,1,3.98
253,Taitung,TW,2020-12-03 15:17:42,22.76,121.14,67.57,76,100,21.25
254,Aktau,KZ,2020-12-03 15:14:51,43.65,51.2,24.8,73,0,13.42
255,Arlit,NE,2020-12-03 15:17:43,18.74,7.39,92.23,16,0,9.46
256,Fukue,JP,2020-12-03 15:17:43,32.69,128.84,53.1,61,27,19.53
257,Flinders,AU,2020-12-03 15:16:33,-34.58,150.86,64.99,87,96,1.01
258,Chara,RU,2020-12-03 15:17:43,56.91,118.26,7.18,83,100,5.03
259,San Juan,AR,2020-12-03 15:12:44,-31.54,-68.54,84.67,19,0,16.98
260,Tarrafal,CV,2020-12-03 15:17:43,15.28,-23.77,82.4,54,75,11.41
261,Bundaberg,AU,2020-12-03 15:17:43,-24.85,152.35,73.4,78,75,4.7
262,Turukhansk,RU,2020-12-03 15:16:37,65.82,87.98,7.56,95,100,9.35
263,Kasempa,ZM,2020-12-03 15:17:43,-13.46,25.83,74.73,83,96,3.06
264,Muros,ES,2020-12-03 15:17:00,42.78,-9.06,55.0,82,100,18.01
265,Dunedin,NZ,2020-12-03 15:15:26,-45.87,170.5,54.0,49,100,3.0
266,Barwadih,IN,2020-12-03 15:17:43,23.83,84.12,60.15,53,0,3.51
267,Kismayo,SO,2020-12-03 15:17:44,-0.36,42.55,80.62,76,97,14.7
